name,total_m,segments_count,street_count
Vydumanec,4301.265992850495,26,2
Sihoť,4300.916973200298,26,7
Poľná cesta,4288.285053061648,15,8
Pod vinohradmi,4288.106660232453,19,10
Havrilovo,4283.147857083761,9,1
Horný koniec,4269.810098549016,26,6
Novomeského,4249.286962406756,22,9
Šancová,4247.308368696173,43,4
Ovocná,4247.223269065857,31,11
Šamorínska,4244.498717916541,31,8
Západný lesnícky chodník,4233.51022168831,2,1
Šávoľská cesta,4230.821682896438,14,1
Centrálna,4217.143731990036,30,4
Šurianska,4210.629579971953,15,4
Oravská,4196.880348560621,27,13
Niva,4195.984458580018,22,4
Nábrežie Oravy,4193.203259083039,12,1
Senecká,4191.4261948650255,30,6
Hodská,4188.601153889832,30,1
Prievozská,4185.084572923193,32,3
Muránska,4177.263790800757,20,6
Most Hričovský kanál,4171.90059959249,2,1
Andreja Sládkoviča,4171.0322504155665,35,7
Okružná cesta,4170.413404096273,21,4
Krásna,4162.78396825293,26,7
Pri parku,4161.780796359835,29,10
Jegenešská,4157.527025227811,16,1
Užhorodská,4152.513132128658,39,2
Nevädzová,4151.026324815068,37,15
Jurkovičova,4147.036760101718,32,6
Mýtna cesta,4145.189182646362,4,3
Wolkerova,4142.943392185964,31,8
Vyšná,4142.911212207473,19,9
Jantárová cesta,4138.4349380809335,38,3
Medvedia cesta,4138.089219095814,2,2
Botanická,4137.04554232451,39,5
Stará dolina,4135.679419287945,3,1
Bratská,4134.887728191444,51,2
Surovecká cesta,4129.613574081775,5,1
Fő utca,4122.342604990132,16,4
Veščarovci,4120.263782181534,24,1
Stred,4114.109752517921,34,2
Cesta osloboditeľov,4111.948420718299,17,2
Šrobárova,4102.919269570345,32,8
Pri štadióne,4101.237677283732,18,12
Podhradie,4097.346409609728,14,5
Švábska,4092.271594402081,34,2
Kutlíkova,4090.77830700951,37,1
Diaľničná cesta,4083.307286833769,44,1
Horný lovecký chodník,4082.614428923975,3,1
Starohutská,4082.017426007123,3,1
Podháj,4079.928476125724,23,3
Stupy,4065.877411496501,17,4
Veľkomoravská,4063.9258253421917,26,5
Broskyňová,4063.087799717721,30,13
Vrbovská cesta,4059.179231332369,28,2
Oravická,4057.0188359565523,14,3
Kolibská cesta,4056.7841526937245,7,1
Výhon,4051.5255242559224,11,8
Moskovská,4044.4245995479605,26,6
Záhumenice,4042.8721420877587,24,7
Trnková,4037.683551906957,26,12
Pri majeri,4033.4319155368003,18,7
Hliník,4032.917599658918,25,8
Morušová,4022.995450165848,37,12
Plánky,4012.6355508376796,29,1
Kráľovská,4012.5981516201623,35,6
Francúzskych partizánov,4005.5798132068785,49,3
Pod Wilec hôrkou,4001.2744085132663,21,1
Za školou,4001.1094246228417,20,13
Sv. Martina,3998.467709506334,20,3
Sečovská cesta,3996.145485517919,22,1
Na papiereň,3995.6002235129004,5,1
Repište,3992.6328049324884,20,3
Mochovská,3985.473108879105,21,3
Poľnohospodárska,3984.021011889225,13,7
Novoveská cesta,3979.9767832615594,27,2
Boženy Němcovej,3979.4261843570976,29,12
Golianova,3975.794600127006,37,3
Budovateľov,3974.191644965643,21,8
Zochova,3968.7685504190886,12,5
Jurava II,3965.0747058516176,15,1
Gazdovská,3964.3709786846634,19,10
Tomášovská,3962.28041491047,24,7
Podzámska,3950.786118488373,31,5
Kazanská,3950.270639434673,46,1
Prejtská,3949.7246388672684,24,1
Ľanová,3947.641401780792,16,10
Chotárna,3939.0656702396873,14,10
Námestie hrdinov,3938.1241364386738,51,12
